"stop_sequence","trip_id","stop_lat","stop_lon","stop_id","stop_name"
2,"464099523448",41.880141,-87.764612,"14956","Madison & Central"
2,"464099523881",41.911235,-87.632022,"924","North Ave & Clark"
2,"464099545307",41.818069,-87.599520,"7991","42nd Place & Lake Park"
2,"464099546009",41.884277,-87.631029,"1865","Clark & Randolph"
2,"464099546193",41.802811,-87.703955,"3085","5000 S Kedzie"
2,"464099546546",41.721908,-87.606975,"2461","95th Street & Langley"
2,"464099546691",41.878051,-87.635401,"68","Jackson & Franklin"
2,"464099546888",41.949187,-87.648684,"5757","Waveland & Broadway"
2,"464099546944",41.894886,-87.620252,"594","Fairbanks & Huron"
2,"464099547164",41.683954,-87.717174,"9955","115th Street & Springfield"
2,"464099548025",41.752022,-87.548614,"14947","79th Street & South Shore"
2,"464099548317",41.734229,-87.740902,"15813","Cicero & 87th Street"
2,"464099548577",41.750931,-87.629830,"15209","79th Street & Wentworth"
2,"464099548690",41.892011,-87.612125,"759","Grand & Streeter"
2,"464099551073",41.875841,-87.624024,"4725","Congress & Michigan"
2,"464099551114",41.875841,-87.624024,"4725","Congress & Michigan"
2,"464099551909",41.874307,-87.642121,"17995","Harrison & Jefferson"
2,"464099552015",41.822542,-87.711829,"7783","St. Louis & Pershing"
2,"464099552231",41.886737,-87.625296,"14567","S. Water (Lower) & Michigan"
2,"464099552515",41.886737,-87.625296,"14567","S. Water (Lower) & Michigan"
2,"464099552571",41.874307,-87.642121,"17995","Harrison & Jefferson"
2,"464099552574",41.937565,-87.639535,"1073","Sheridan & Barry"
2,"464099553670",41.875841,-87.624024,"4725","Congress & Michigan"
2,"464099553802",41.850106,-87.808307,"16112","North Riverside & Cermak"
2,"464099553979",41.884965,-87.615072,"6355","Harbor Drive & Randolph"
2,"464099554181",41.946764,-87.694793,"12573","Addison & Talman"
2,"464099554455",41.869360,-87.620355,"14483","1100 S Columbus (Pedestrian Underpass)"
2,"464099554586",41.831310,-87.613125,"2526","35th Street & Rhodes"
2,"464099554691",41.892011,-87.612125,"759","Grand & Streeter"
2,"464099555004",42.004705,-87.711726,"14998","McCormick & Pratt"
2,"464099714454",41.769103,-87.625648,"17895","69th Red Line Station"
2,"464099714831",41.691708,-87.525949,"12253","112th Street & Avenue B"
2,"464099715242",41.769157,-87.629713,"10088","69th Street & Wentworth"
2,"464099715512",41.721676,-87.620736,"2816","95th Street & Michigan"
2,"464099715623",41.895823,-87.624422,"14488","Michigan & Superior"
2,"464099715630",41.878741,-87.641171,"4992","Clinton & Quincy"
2,"464099715631",41.707970,-87.568215,"5261","103rd Street & Luella"
2,"464099716424",41.685508,-87.612968,"2842","115th Street & King Drive"
2,"464099716740",41.721755,-87.629179,"15160","95th Street & Wentworth"
2,"464099716744",41.878005,-87.638306,"14461","Jackson & Chicago River"
2,"464099716770",41.659207,-87.614919,"7588","130th Street & Daniel Drive"
2,"464099716950",41.707970,-87.568215,"5261","103rd Street & Luella"
2,"464099716970",41.888285,-87.622423,"14224","Wacker (Upper) & Stetson"
2,"464099717003",41.721676,-87.620736,"2816","95th Street & Michigan"
2,"464099717060",41.723883,-87.623728,"18016","State & 94th Street"
2,"464099717131",41.721755,-87.629179,"15160","95th Street & Wentworth"
2,"464099717418",41.721676,-87.620736,"2816","95th Street & Michigan"
2,"464099717428",41.721676,-87.620736,"2816","95th Street & Michigan"
2,"464099717477",41.658836,-87.610747,"2985","Eberhart & 130th Street"
2,"464099717506",41.678048,-87.661217,"17737","Ashland & 119th Street"
2,"464099717513",41.678048,-87.661217,"17737","Ashland & 119th Street"
2,"464099717544",41.677141,-87.680307,"15819","119th Street & Western"
2,"464099717739",41.694069,-87.559371,"6983","11100 S Torrence"
2,"464099718105",41.785951,-87.596449,"15433","60th Street & Woodlawn"
2,"464099718107",41.785841,-87.605556,"15432","60th Street & Cottage Grove"
2,"464099718157",41.802527,-87.588262,"1525","E Hyde Park & Lake Park"
2,"464099782835",41.760495,-87.557499,"14893","75th Street & South Shore"
2,"464099783516",41.782234,-87.742588,"4611","Cicero & 61st Street"
2,"464099783522",41.775956,-87.771346,"4569","Austin & 64th Street"
2,"464099783755",41.785756,-87.735300,"12952","59th Street & Kilbourn"
2,"464099784008",41.761074,-87.673365,"8716","Damen & 73rd Street"
2,"464099784749",41.792519,-87.741371,"4605","Cicero & 55th Street"
2,"464099784776",41.776978,-87.813728,"4645","63rd Street & Archer"
2,"464099784818",41.792519,-87.741371,"4605","Cicero & 55th Street"
2,"464099784833",41.776978,-87.813728,"4645","63rd Street & Archer"
2,"464099784842",41.793187,-87.742650,"4542","55th Street & Cicero"
2,"464099784879",41.778897,-87.586517,"5202","Stony Island & 64th Street"
2,"464099784980",41.808345,-87.684327,"8339","Western & 47th Street"
2,"464099785322",41.721755,-87.629179,"15160","95th Street & Wentworth"
2,"464099785887",41.976014,-87.689300,"1717","Western & Foster"
2,"464099785914",41.977533,-87.689336,"14529","Western & Berwyn"
2,"464099785988",41.721483,-87.662543,"6147","Ashland & 95th Street"
2,"464099786431",41.754225,-87.733719,"15933","76th Street & Ford City Movie Theatre"
2,"464099857779",41.684153,-87.719956,"4693","Pulaski & 115th Street"
2,"51097731058",42.063987,-87.685617,"30242","Central-Purple"
2,"51097731189",42.026243,-87.747221,"30297","Oakton-Skokie"
2,"51097732277",41.873490,-87.806961,"30189","Harlem-Forest Park"
2,"51097733721",41.965996,-87.708821,"30226","Kedzie-Brown"
2,"51097737245",41.778943,-87.644244,"30183","Halsted-Green"
2,"51097753847",42.015876,-87.669092,"30228","Jarvis"
2,"51097762708",41.799756,-87.724493,"30185","Pulaski-Orange"
2,"51097775132",41.851820,-87.745336,"30082","Cicero-Cermak"
2,"BNSF_BN1233_V1",41.860278,-87.647222,"HALSTED","Halsted Street"
2,"MD-W_MW2244_V1",42.036111,-88.286111,"ELGIN","Elgin"
2,"ME_ME821_V3",41.876944,-87.623056,"VANBUREN","Van Buren St."
2,"SWS_SW866_V1",41.484722,-87.959722,"LARAWAY","Laraway Road"
2,"UP-NW_UNW661_V1",41.916944,-87.668056,"CLYBOURN","Clybourn"
2,"UP-N_UN831_V6",41.916944,-87.668056,"CLYBOURN","Clybourn"
2,"UP-W_UW58_V1",41.886667,-88.412222,"LAFOX","La Fox"
3,"1902",41.882140,-87.625973,"450","Madison & Wabash"
3,"463099473933",41.874743,-87.629131,"1876","Dearborn & Harrison"
3,"463099474083",41.874380,-87.637546,"6708","404 W Harrison"
3,"463099554304",41.860502,-87.623880,"14760","Michigan & 16th Street"
3,"463099555105",41.867490,-87.630838,"15377","Roosevelt & Clark"
3,"463099784179",41.848060,-87.644520,"4450","Archer & Lowe"
3,"463099784373",41.791993,-87.796566,"4379","Archer & Sayre"
3,"464099199243",41.878051,-87.635401,"68","Jackson & Franklin"
3,"464099442938",42.062479,-87.760648,"17866","Old Orchard Rd & Woods"
